index,prior,eos,kr,gormax
992,91,0,1,1200
993,91,0,1,1300
994,91,0,1,1400
995,91,0,1,1500
996,91,0,1,1600
997,91,0,1,1700
998,91,0,1,1800
999,91,0,1,1900
1000,91,0,1,2000
1001,92,0,1,1000
1002,92,0,1,1100
1003,92,0,1,1200
1004,92,0,1,1300
1005,92,0,1,1400
1006,92,0,1,1500
1007,92,0,1,1600
1008,92,0,1,1700
1009,92,0,1,1800
1010,92,0,1,1900
1011,92,0,1,2000
1012,93,0,1,1000
1013,93,0,1,1100
1014,93,0,1,1200
1015,93,0,1,1300
1016,93,0,1,1400
1017,93,0,1,1500
1018,93,0,1,1600
1019,93,0,1,1700
1020,93,0,1,1800
1021,93,0,1,1900
1022,93,0,1,2000
1023,94,0,1,1000
1024,94,0,1,1100
1025,94,0,1,1200
1026,94,0,1,1300
1027,94,0,1,1400
1028,94,0,1,1500
1029,94,0,1,1600
1030,94,0,1,1700
1031,94,0,1,1800
1032,94,0,1,1900
1033,94,0,1,2000
1034,95,0,1,1000
1035,95,0,1,1100
1036,95,0,1,1200
1037,95,0,1,1300
1038,95,0,1,1400
1039,95,0,1,1500
1040,95,0,1,1600
1041,95,0,1,1700
1042,95,0,1,1800
1043,95,0,1,1900
1044,95,0,1,2000
1045,96,0,1,1000
1046,96,0,1,1100
1047,96,0,1,1200
1048,96,0,1,1300
1049,96,0,1,1400
1050,96,0,1,1500
1051,96,0,1,1600
1052,96,0,1,1700
1053,96,0,1,1800
1054,96,0,1,1900
1055,96,0,1,2000
1056,97,0,1,1000
1057,97,0,1,1100
1058,97,0,1,1200
1059,97,0,1,1300
1060,97,0,1,1400
1061,97,0,1,1500
1062,97,0,1,1600
1063,97,0,1,1700
1064,97,0,1,1800
1065,97,0,1,1900
1066,97,0,1,2000
1067,98,0,1,1000
1068,98,0,1,1100
1069,98,0,1,1200
1070,98,0,1,1300
1071,98,0,1,1400
1072,98,0,1,1500
1073,98,0,1,1600
1074,98,0,1,1700
1075,98,0,1,1800
1076,98,0,1,1900
1077,98,0,1,2000
1078,99,0,1,1000
1079,99,0,1,1100
1080,99,0,1,1200
1081,99,0,1,1300
1082,99,0,1,1400
1083,99,0,1,1500
1084,99,0,1,1600
1085,99,0,1,1700
1086,99,0,1,1800
1087,99,0,1,1900
1088,99,0,1,2000
1089,100,0,1,1000
1090,100,0,1,1100
1091,100,0,1,1200
1092,100,0,1,1300
1093,100,0,1,1400
1094,100,0,1,1500
1095,100,0,1,1600
1096,100,0,1,1700
1097,100,0,1,1800
1098,100,0,1,1900
1099,100,0,1,2000
